id,proverb,meaning,wrong1,wrong2,wrong3,category
1,अवसर चुकेपछि के काम,मौकामा नै काम गर्नुपर्छ ।,अवसर चुकाउनु राम्रो हुन्छ,अवसर चुकाउनु भनेको सफलताको संकेत हो,अवसर चुकाएपछि अर्को अवसर आउँदैन,Fate and Caution
2,"अक्‍कासिंदा जहाँ ताहाँ, पत्तालिँदा कहाँ कहाँ",माथि पुग्दा देख्नु ।,अकस्मात काम गर्दा सधैं सफलता मिल्छ,जति धेरै खोज्यो त्यति कम पाईन्छ,अकस्मात पाएको कुरा सधैं राम्रो हुन्छ,Fate and Caution
3,अल्लाको भऱ्याङ र सिस्नाको भऱ्याङ,साह्रै कमजोर सहारा ।,अल्ला चढ्न प्रयोग गरेको भऱ्याङ,सिस्नाको भऱ्याङमा चढ्दा आकाश पुगिन्छ,अल्लाको भऱ्याङले सिस्ना टिप्न मद्दत गर्छ,Fate and Caution
4,"अल्छीको बल्छी पाखुरेको जाल, मर्दको दुवाली माछाको काल",बल दाँज्नु र छुट्याउनु ।,अल्छी मान्छेले बल्छी बनाएर माछा समात्छ,मर्द मान्छेको दुवालीले माछा मर्छ,बलियो पाखुरे मान्छेले माछा समात्न जाल फाल्छ,Hard Work and Perseverance
5,अगुल्टोले हानेको कुकुर बिजुली देख्दा तर्सन्छ,एकपल्ट धोखा आएपछि सधैँ तर्सनु ।,कुकुर अगुल्टोले बिजुली हान्छ,बिजुलीले कुकुरलाई अगुल्टो देखाउँछ,अगुल्टो र बिजुली कुकुरसँग डराउँछन्,Fate and Caution
6,अगुल्टो पनि नठोसी बल्दैन,एकैठाउँमा बसेपछि कहिलेकाहीँ विवाद हुन्छ ।,अगुल्टो नठोसी आगो बल्छ,अगुल्टोले आगो निभाउँछ,अगुल्टो बिना आगो आफैं बल्छ,Hard Work and Perseverance
7,"अघि आउनेको रोजी बिछ्यौना, पछि आउनेको खोजी बिछ्यौना",पहिला आउनेले मौका पाउँछ ।,पहिले आउनेले सधैं सजिलो पाउँछ,पछाडि आउनेले सधैं गाह्रो पाउँछ,अगाडि आउनेले बिछ्यौना मात्र खोज्छ,Social Behavior and Relationships
8,"अघिको तितो, पछिको मिठो",पहिला खम्रो मसिनो पछि राम्रो हुन्छ ।,पहिले नराम्रो व्यवहार गर्नु ठीक हुन्छ,पहिले तितो खानु सधैं राम्रो हुन्छ,पहिले दु:ख पाउँदा पछि सुख पाइँदैन,Fate and Caution
9,अचानाको पिर खुकुरीले जान्दैन,पिर पर्नेलाई मात्र त्यसको पीडा थाहा हुन्छ ।,खुकुरीले अचानालाई सधैं माया गर्छ,अचानाले खुकुरीलाई काट्छ,खुकुरीले अचानालाई कहिल्यै देख्दैन,Social Behavior and Relationships
10,अछ्यूँ खाएँ बछ्यूँ खाएँ झुसे बारुलो,ठूलो कामका अगाडि सानोको महत्त्व नहुनु ।,अछ्यूँ र बछ्यूँ खाँदा बल बढ्छ,बारुलोले झुसे खान्छ,अछ्यूँ र बछ्यूँ खाँदा स्वास्थ्य राम्रो हुन्छ,Fate and Caution
